epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
116,2021-04-19,Brazil,BA,TOTAL,68,17371,1430,863764,17371,863764,116.79503,5807.57267,0.02011,830817,190000,1978117,13299.99656,2065396,13886.82251,641440,4312.76299
116,2021-04-19,Brazil,CE,TOTAL,72,16307,734,623781,16235,623047,178.56834,6830.65782,0.02614,426928,87297,1807699,19795.04555,1160621,12709.27603,436659,4781.59516
116,2021-04-19,Brazil,DF,TOTAL,74,7284,1261,367969,7284,367969,241.57057,12203.52552,0.01980,348450,661,782118,25938.58987,367394,12184.45591,159552,5291.46995
116,2021-04-19,Brazil,ES,TOTAL,103,8776,1710,418642,8764,418457,218.38179,10417.47851,0.02096,389847,242843,1223143,30436.66405,598822,14901.07374,150719,3750.48835
116,2021-04-19,Brazil,GO,TOTAL,232,13908,4133,528546,13691,526028,198.16612,7530.91109,0.02631,501732,427613,1044078,14876.39409,750769,10697.22331,252006,3590.67097
116,2021-04-19,Brazil,MA,TOTAL,41,6907,1371,257369,6907,257369,97.62294,3637.63132,0.02684,230904,2815,619742,8759.38015,693456,9801.24749,229108,3238.19278
116,2021-04-19,Brazil,MG,TOTAL,88,30397,1872,1281421,30397,1281421,143.59346,6053.34995,0.02372,1167827,2675975,3605959,17034.31717,2652291,12529.25120,976071,4610.89630
116,2021-04-19,Brazil,MS,TOTAL,58,5282,1092,238806,5224,237714,190.06933,8593.27827,0.02212,219268,2538,723933,26050.25718,429810,15466.43272,179034,6442.42180
116,2021-04-19,Brazil,MT,TOTAL,84,9168,1896,344792,9012,342720,263.11062,9895.11736,0.02659,320566,48576,1039067,29819.97815,326383,9366.80111,115492,3314.48205
116,2021-04-19,Brazil,PA,TOTAL,119,12019,2787,453979,11900,451192,139.70927,5277.06758,0.02647,421399,720,980727,11400.00453,948022,11019.84048,370805,4310.25013
116,2021-04-19,Brazil,PB,TOTAL,34,6478,904,280967,6478,280967,161.21939,6992.48680,0.02306,194389,77408,763570,19003.13255,583738,14527.61448,202721,5045.16159
116,2021-04-19,Brazil,PE,TOTAL,36,13248,1020,383184,13248,383184,138.61988,4009.42925,0.03457,324576,8487,1493167,15623.68847,1179157,12338.05839,425092,4447.93180
116,2021-04-19,Brazil,PI,TOTAL,22,4802,1381,229291,4780,227910,146.70538,7005.04426,0.02094,221790,3678,655602,20029.22498,364353,11131.30864,114645,3502.50685
116,2021-04-19,Brazil,PR,TOTAL,75,20424,2701,909691,20424,909691,178.62582,7956.04706,0.02245,648889,12241,2874680,25141.60233,1430471,12510.72573,481039,4207.10870
116,2021-04-19,Brazil,RJ,TOTAL,108,41418,916,704265,41418,704265,239.89653,4079.16203,0.05881,653975,52017,2313502,13399.99790,1862896,10790.05010,533714,3091.31632
116,2021-04-19,Brazil,RN,TOTAL,30,5195,225,215460,5126,213447,148.13852,6143.97011,0.02411,150649,52838,679086,19364.54137,427539,12191.52899,134984,3849.14908
116,2021-04-19,Brazil,RO,TOTAL,53,4854,725,205207,4854,205207,273.12242,11546.48398,0.02365,180089,278705,529325,29783.79215,159641,8982.59928,47280,2660.32720
116,2021-04-19,Brazil,RR,TOTAL,6,1451,167,93957,1445,93790,239.53341,15510.57265,0.01544,86691,41093,219083,36166.57395,62384,10298.45104,32251,5324.04694
116,2021-04-19,Brazil,RS,TOTAL,79,23271,738,922550,23271,922550,204.53996,8108.73359,0.02522,884729,13610,3520687,30945.00344,1985961,17455.56193,579946,5097.42302
116,2021-04-19,Brazil,SC,TOTAL,82,12664,1973,857875,12664,857875,176.75331,11973.48756,0.01476,825401,148451,1827719,25509.74293,899501,12554.46777,377377,5267.10630
116,2021-04-19,Brazil,SE,TOTAL,27,3982,1303,191537,3982,191537,173.22865,8332.41977,0.02079,170284,2320,386688,16822.05912,277283,12062.62159,106409,4629.10276
116,2021-04-19,Brazil,SP,TOTAL,178,88528,4083,2750300,88528,2750300,192.79145,5989.45331,0.03219,2407888,1088735,12035827,26210.96748,6220127,13545.85327,3216558,7004.84455
116,2021-04-19,Brazil,TO,TOTAL,14,2396,875,154126,2382,153251,152.33338,9799.05472,0.01555,131837,405,462813,29424.82068,147641,9386.75005,49726,3161.48992
116,2021-04-19,Brazil,TOTAL,TOTAL,1756,375427,36522,13987519,374682,13973695,177.29252,6605.49847,0.02684,12346828,5514677,43246224,20422.69730,26707227,12612.28293,10203252,4818.40743
116,2021-04-20,Brazil,AC,TOTAL,12,1445,41,75640,1445,75640,163.84427,8576.59578,0.01910,62798,44233,197954,22445.41831,85897,9739.60666,22324,2531.25230
